"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
2018,"California","CA",6,93,71,"US House",1,"gen",FALSE,"Audrey Denney","democrat",FALSE,"total",263096,583188,FALSE,20190131
2018,"California","CA",6,93,71,"US House",1,"gen",FALSE,"Doug La Malfa","republican",FALSE,"total",320092,583188,FALSE,20190131
2018,"California","CA",6,93,71,"US House",10,"gen",FALSE,"Jeff Denham","republican",FALSE,"total",211910,443800,FALSE,20190131
2018,"California","CA",6,93,71,"US House",10,"gen",FALSE,"Josh Harder","democrat",FALSE,"total",231890,443800,FALSE,20190131
2018,"California","CA",6,93,71,"US House",11,"gen",FALSE,"John Fitzgerald","republican",FALSE,"total",142624,551362,FALSE,20190131
2018,"California","CA",6,93,71,"US House",11,"gen",FALSE,"Mark DeSaulnier","democrat",FALSE,"total",408738,551362,FALSE,20190131
2018,"California","CA",6,93,71,"US House",12,"gen",FALSE,"Lisa Remmer","republican",FALSE,"total",83560,634144,FALSE,20190131
2018,"California","CA",6,93,71,"US House",12,"gen",FALSE,"Nancy Pelosi","democrat",FALSE,"total",550584,634144,FALSE,20190131
2018,"California","CA",6,93,71,"US House",13,"gen",FALSE,"Barbara Lee","democrat",FALSE,"total",521160,589674,FALSE,20190131
2018,"California","CA",6,93,71,"US House",13,"gen",FALSE,"Laura Wells","green",FALSE,"total",68514,589674,FALSE,20190131
2018,"California","CA",6,93,71,"US House",14,"gen",FALSE,"Cristina Osmena","republican",FALSE,"total",110878,533646,FALSE,20190131
2018,"California","CA",6,93,71,"US House",14,"gen",FALSE,"Jackie Speier","democrat",FALSE,"total",422768,533646,FALSE,20190131
2018,"California","CA",6,93,71,"US House",15,"gen",FALSE,"Eric Swalwell","democrat",FALSE,"total",355978,487858,FALSE,20190131
2018,"California","CA",6,93,71,"US House",15,"gen",FALSE,"Rudy L. Peters Jr.","republican",FALSE,"total",131880,487858,FALSE,20190131
2018,"California","CA",6,93,71,"US House",16,"gen",FALSE,"Elizabeth Heng","republican",FALSE,"total",121386,285918,FALSE,20190131
2018,"California","CA",6,93,71,"US House",16,"gen",FALSE,"Jim Costa","democrat",FALSE,"total",164532,285918,FALSE,20190131
2018,"California","CA",6,93,71,"US House",17,"gen",FALSE,"Ro Khanna","democrat",FALSE,"total",318210,422324,FALSE,20190131
2018,"California","CA",6,93,71,"US House",17,"gen",FALSE,"Ron Cohen","republican",FALSE,"total",104114,422324,FALSE,20190131
2018,"California","CA",6,93,71,"US House",18,"gen",FALSE,"Anna G. Eshoo","democrat",FALSE,"total",450284,604476,FALSE,20190131
2018,"California","CA",6,93,71,"US House",18,"gen",FALSE,"Christine Russell","republican",FALSE,"total",154192,604476,FALSE,20190131
2018,"California","CA",6,93,71,"US House",19,"gen",FALSE,"Justin James Aguilera","republican",FALSE,"total",115646,440638,FALSE,20190131
2018,"California","CA",6,93,71,"US House",19,"gen",FALSE,"Zoe Lofgren","democrat",FALSE,"total",324992,440638,FALSE,20190131
2018,"California","CA",6,93,71,"US House",2,"gen",FALSE,"Dale K. Mensing","republican",FALSE,"total",145152,631314,FALSE,20190131
2018,"California","CA",6,93,71,"US House",2,"gen",FALSE,"Jared Huffman","democrat",FALSE,"total",486162,631314,FALSE,20190131
2018,"California","CA",6,93,71,"US House",20,"gen",FALSE,"Jimmy Panetta","democrat",FALSE,"total",367354,451442,FALSE,20190131
2018,"California","CA",6,93,71,"US House",20,"gen",FALSE,"Ronald Paul Kabat","no party preference",FALSE,"total",84088,451442,FALSE,20190131
2018,"California","CA",6,93,71,"US House",21,"gen",FALSE,"David G. Valadao","republican",FALSE,"total",112754,227232,FALSE,20190131
2018,"California","CA",6,93,71,"US House",21,"gen",FALSE,"TJ Cox","democrat",FALSE,"total",114478,227232,FALSE,20190131
2018,"California","CA",6,93,71,"US House",22,"gen",FALSE,"Andrew Janz","democrat",FALSE,"total",210272,444758,FALSE,20190131
2018,"California","CA",6,93,71,"US House",22,"gen",FALSE,"Devin G. Nunes","republican",FALSE,"total",234486,444758,FALSE,20190131
2018,"California","CA",6,93,71,"US House",23,"gen",FALSE,"Kevin McCarthy","republican",FALSE,"total",262226,411548,FALSE,20190131
2018,"California","CA",6,93,71,"US House",23,"gen",FALSE,"Tatiana Matta","democrat",FALSE,"total",149322,411548,FALSE,20190131
2018,"California","CA",6,93,71,"US House",24,"gen",FALSE,"Justin Fareed","republican",FALSE,"total",235762,568862,FALSE,20190131
2018,"California","CA",6,93,71,"US House",24,"gen",FALSE,"Salud Carbajal","democrat",FALSE,"total",333100,568862,FALSE,20190131
2018,"California","CA",6,93,71,"US House",25,"gen",FALSE,"Katie Hill","democrat",FALSE,"total",266418,490044,FALSE,20190131
2018,"California","CA",6,93,71,"US House",25,"gen",FALSE,"Steve Knight","republican",FALSE,"total",223626,490044,FALSE,20190131
2018,"California","CA",6,93,71,"US House",26,"gen",FALSE,"Antonio Sabato, Jr.","republican",FALSE,"total",194420,510852,FALSE,20190131
2018,"California","CA",6,93,71,"US House",26,"gen",FALSE,"Julia Brownley","democrat",FALSE,"total",316432,510852,FALSE,20190131
2018,"California","CA",6,93,71,"US House",27,"gen",FALSE,"Bryan Witt","democrat",FALSE,"total",84264,405272,FALSE,20190131
2018,"California","CA",6,93,71,"US House",27,"gen",FALSE,"Judy Chu","democrat",FALSE,"total",321008,405272,FALSE,20190131
2018,"California","CA",6,93,71,"US House",28,"gen",FALSE,"Adam B. Schiff","democrat",FALSE,"total",393324,501868,FALSE,20190131
2018,"California","CA",6,93,71,"US House",28,"gen",FALSE,"Johnny J. Nalbandian","republican",FALSE,"total",108544,501868,FALSE,20190131
2018,"California","CA",6,93,71,"US House",29,"gen",FALSE,"Benito Benny Bernal","republican",FALSE,"total",59990,309384,FALSE,20190131
2018,"California","CA",6,93,71,"US House",29,"gen",FALSE,"Tony Cardenas","democrat",FALSE,"total",249394,309384,FALSE,20190131
2018,"California","CA",6,93,71,"US House",3,"gen",FALSE,"Charlie Schaupp","republican",FALSE,"total",194752,464502,FALSE,20190131
2018,"California","CA",6,93,71,"US House",3,"gen",FALSE,"John Garamendi","democrat",FALSE,"total",269750,464502,FALSE,20190131
2018,"California","CA",6,93,71,"US House",30,"gen",FALSE,"Brad Sherman","democrat",FALSE,"total",383146,521986,FALSE,20190131
2018,"California","CA",6,93,71,"US House",30,"gen",FALSE,"Mark S. Reed","republican",FALSE,"total",138840,521986,FALSE,20190131
2018,"California","CA",6,93,71,"US House",31,"gen",FALSE,"Pete Aguilar","democrat",FALSE,"total",220286,374990,FALSE,20190131
2018,"California","CA",6,93,71,"US House",31,"gen",FALSE,"Sean Flynn","republican",FALSE,"total",154704,374990,FALSE,20190131
2018,"California","CA",6,93,71,"US House",32,"gen",FALSE,"Grace Flores Napolitano","democrat",FALSE,"total",243518,354062,FALSE,20190131
2018,"California","CA",6,93,71,"US House",32,"gen",FALSE,"Joshua M. Scott","republican",FALSE,"total",110544,354062,FALSE,20190131
2018,"California","CA",6,93,71,"US House",33,"gen",FALSE,"Kenneth Weston Wright","republican",FALSE,"total",187538,625720,FALSE,20190131
2018,"California","CA",6,93,71,"US House",33,"gen",FALSE,"Ted W. Lieu","democrat",FALSE,"total",438182,625720,FALSE,20190131
2018,"California","CA",6,93,71,"US House",34,"gen",FALSE,"Jimmy Gomez","democrat",FALSE,"total",220390,303812,FALSE,20190131
2018,"California","CA",6,93,71,"US House",34,"gen",FALSE,"Kenneth Mejia","green",FALSE,"total",83422,303812,FALSE,20190131
2018,"California","CA",6,93,71,"US House",35,"gen",FALSE,"Christian Leonel Valiente","republican",FALSE,"total",91208,298048,FALSE,20190131
2018,"California","CA",6,93,71,"US House",35,"gen",FALSE,"Norma J. Torres","democrat",FALSE,"total",206840,298048,FALSE,20190131
2018,"California","CA",6,93,71,"US House",36,"gen",FALSE,"Kimberlin Brown Pelzer","republican",FALSE,"total",169678,414016,FALSE,20190131
2018,"California","CA",6,93,71,"US House",36,"gen",FALSE,"Raul Ruiz","democrat",FALSE,"total",244338,414016,FALSE,20190131
2018,"California","CA",6,93,71,"US House",37,"gen",FALSE,"Karen Bass","democrat",FALSE,"total",421110,472756,FALSE,20190131
2018,"California","CA",6,93,71,"US House",37,"gen",FALSE,"Ron J. Bassilian","republican",FALSE,"total",51646,472756,FALSE,20190131
2018,"California","CA",6,93,71,"US House",38,"gen",FALSE,"Linda T. Sanchez","democrat",FALSE,"total",278376,404312,FALSE,20190131
2018,"California","CA",6,93,71,"US House",38,"gen",FALSE,"Ryan Downing","republican",FALSE,"total",125936,404312,FALSE,20190131
2018,"California","CA",6,93,71,"US House",39,"gen",FALSE,"Gil Cisneros","democrat",FALSE,"total",252004,488786,FALSE,20190131
2018,"California","CA",6,93,71,"US House",39,"gen",FALSE,"Young Kim","republican",FALSE,"total",236782,488786,FALSE,20190131
2018,"California","CA",6,93,71,"US House",4,"gen",FALSE,"Jessica Morse","democrat",FALSE,"total",312506,681308,FALSE,20190131
2018,"California","CA",6,93,71,"US House",4,"gen",FALSE,"Tom McClintock","republican",FALSE,"total",368802,681308,FALSE,20190131
2018,"California","CA",6,93,71,"US House",40,"gen",FALSE,"Lucille Roybal-Allard","democrat",FALSE,"total",187876,242898,FALSE,20190131
2018,"California","CA",6,93,71,"US House",40,"gen",FALSE,"Rodolfo Cortes Barragan","green",FALSE,"total",55022,242898,FALSE,20190131
2018,"California","CA",6,93,71,"US House",41,"gen",FALSE,"Aja Smith","republican",FALSE,"total",116042,332496,FALSE,20190131
2018,"California","CA",6,93,71,"US House",41,"gen",FALSE,"Mark Takano","democrat",FALSE,"total",216454,332496,FALSE,20190131
2018,"California","CA",6,93,71,"US House",42,"gen",FALSE,"Julia C Peacock","democrat",FALSE,"total",201784,463864,FALSE,20190131
2018,"California","CA",6,93,71,"US House",42,"gen",FALSE,"Ken Calvert","republican",FALSE,"total",262080,463864,FALSE,20190131
2018,"California","CA",6,93,71,"US House",43,"gen",FALSE,"Maxine Waters","democrat",FALSE,"total",304544,392104,FALSE,20190131
2018,"California","CA",6,93,71,"US House",43,"gen",FALSE,"Omar Navarro","republican",FALSE,"total",87560,392104,FALSE,20190131
2018,"California","CA",6,93,71,"US House",44,"gen",FALSE,"Aja L. Brown","democrat",FALSE,"total",90756,286644,FALSE,20190131
2018,"California","CA",6,93,71,"US House",44,"gen",FALSE,"Nanette Diaz Barragan","democrat",FALSE,"total",195888,286644,FALSE,20190131
2018,"California","CA",6,93,71,"US House",45,"gen",FALSE,"Katie Porter","democrat",FALSE,"total",317812,610578,FALSE,20190131
2018,"California","CA",6,93,71,"US House",45,"gen",FALSE,"Mimi Walters","republican",FALSE,"total",292766,610578,FALSE,20190131
2018,"California","CA",6,93,71,"US House",46,"gen",FALSE,"Lou Correa","democrat",FALSE,"total",204556,295832,FALSE,20190131
2018,"California","CA",6,93,71,"US House",46,"gen",FALSE,"Russell Rene Lambert","republican",FALSE,"total",91276,295832,FALSE,20190131
2018,"California","CA",6,93,71,"US House",47,"gen",FALSE,"Alan Lowenthal","democrat",FALSE,"total",286708,442072,FALSE,20190131
2018,"California","CA",6,93,71,"US House",47,"gen",FALSE,"John Briscoe","republican",FALSE,"total",155364,442072,FALSE,20190131
2018,"California","CA",6,93,71,"US House",48,"gen",FALSE,"Dana Rohrabacher","republican",FALSE,"total",273798,589472,FALSE,20190131
2018,"California","CA",6,93,71,"US House",48,"gen",FALSE,"Harley Rouda","democrat",FALSE,"total",315674,589472,FALSE,20190131
2018,"California","CA",6,93,71,"US House",49,"gen",FALSE,"Diane L. Harkey","republican",FALSE,"total",257154,590060,FALSE,20190131
2018,"California","CA",6,93,71,"US House",49,"gen",FALSE,"Mike Levin","democrat",FALSE,"total",332906,590060,FALSE,20190131
2018,"California","CA",6,93,71,"US House",5,"gen",FALSE,"Anthony Mills","no party preference",FALSE,"total",110316,522036,FALSE,20190131
2018,"California","CA",6,93,71,"US House",5,"gen",FALSE,"Mike Thompson","democrat",FALSE,"total",411720,522036,FALSE,20190131
2018,"California","CA",6,93,71,"US House",50,"gen",FALSE,"Ammar Campa-Najjar","democrat",FALSE,"total",250896,519620,FALSE,20190131
2018,"California","CA",6,93,71,"US House",50,"gen",FALSE,"Duncan Hunter","republican",FALSE,"total",268724,519620,FALSE,20190131
2018,"California","CA",6,93,71,"US House",51,"gen",FALSE,"Juan M. Hidalgo Jr.","republican",FALSE,"total",88602,307656,FALSE,20190131
2018,"California","CA",6,93,71,"US House",51,"gen",FALSE,"Juan Vargas","democrat",FALSE,"total",219054,307656,FALSE,20190131
2018,"California","CA",6,93,71,"US House",52,"gen",FALSE,"Omar Qudrat","republican",FALSE,"total",214030,592014,FALSE,20190131
