"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
2018,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Martha McSally","republican",FALSE,"total",1135200,2384308,FALSE,20190110
2018,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Kyrsten Sinema","democrat",FALSE,"total",1191100,2384308,FALSE,20190110
2018,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,"Angela Green","green",FALSE,"total",57442,2384308,FALSE,20190110
2018,"Arizona","AZ",4,86,61,"US Senate","statewide","gen",FALSE,NA,NA,TRUE,"total",566,2384308,FALSE,20190110
2018,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Dianne Feinstein","democrat",FALSE,"total",6019422,11113364,FALSE,20190110
2018,"California","CA",6,93,71,"US Senate","statewide","gen",FALSE,"Kevin De Leon","democrat",FALSE,"total",5093942,11113364,FALSE,20190110
2018,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Christopher S Murphy","democrat",FALSE,"total",787685,1386840,FALSE,20190110
2018,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Matthew Corey","republican",FALSE,"total",545717,1386840,FALSE,20190110
2018,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Christopher S Murphy","working families",FALSE,"total",37894,1386840,FALSE,20190110
2018,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Richard Lion","libertarian",FALSE,"total",8838,1386840,FALSE,20190110
2018,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,"Jeff Russell","green",FALSE,"total",6618,1386840,FALSE,20190110
2018,"Connecticut","CT",9,16,1,"US Senate","statewide","gen",FALSE,NA,NA,TRUE,"total",88,1386840,FALSE,20190110
2018,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"Thomas R Carper","democrat",FALSE,"total",217385,362592,FALSE,20190110
2018,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"Robert B Arlett","republican",FALSE,"total",137127,362592,FALSE,20190110
2018,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"Demitri G Theodoropoulos","green",FALSE,"total",4170,362592,FALSE,20190110
2018,"Delaware","DE",10,51,11,"US Senate","statewide","gen",FALSE,"Nadine M Frost","libertarian",FALSE,"total",3910,362592,FALSE,20190110
2018,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Rick Scott","republican",FALSE,"total",4099505,8190005,FALSE,20190110
2018,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,"Bill Nelson","democrat",FALSE,"total",4089472,8190005,FALSE,20190110
2018,"Florida","FL",12,59,43,"US Senate","statewide","gen",FALSE,NA,NA,TRUE,"total",1028,8190005,FALSE,20190110
2018,"Hawaii","HI",15,95,82,"US Senate","statewide","gen",FALSE,"Mazie K. Hirono","democrat",FALSE,"total",276316,388351,FALSE,20190110
2018,"Hawaii","HI",15,95,82,"US Senate","statewide","gen",FALSE,"Ron Curtis","republican",FALSE,"total",112035,388351,FALSE,20190110
2018,"Indiana","IN",18,32,22,"US Senate","statewide","gen",FALSE,"Mike Braun","republican",FALSE,"total",1158000,2282565,FALSE,20190110
2018,"Indiana","IN",18,32,22,"US Senate","statewide","gen",FALSE,"Joe Donnelly","democrat",FALSE,"total",1023553,2282565,FALSE,20190110
2018,"Indiana","IN",18,32,22,"US Senate","statewide","gen",FALSE,"Lucy M. Brenton","libertarian",FALSE,"total",100942,2282565,FALSE,20190110
2018,"Indiana","IN",18,32,22,"US Senate","statewide","gen",FALSE,NA,NA,TRUE,"total",70,2282565,FALSE,20190110
2018,"Maine","ME",23,11,2,"US Senate","statewide","gen",FALSE,"Eric L. Brakey","republican",FALSE,"total",223502,634409,FALSE,20190110
2018,"Maine","ME",23,11,2,"US Senate","statewide","gen",FALSE,"Angus S. King, Jr.","independent",FALSE,"total",344575,634409,FALSE,20190110
