CD,Harris,Trump,Total,Harris %,Trump %,Winner,Margin %,Data source,@
AK-AL,"140,026","184,458","338,177",41.41%,54.54%,Trump,-13.1%,Alaska State Elections,
AL-01,"73,202","257,309","334,430",21.89%,76.94%,Trump,-55.1%,Drew Savicki,drewsav
AL-02,"155,343","131,501","290,230",53.52%,45.31%,Harris,8.2%,Drew Savicki,drewsav
AL-03,"82,876","230,168","316,542",26.18%,72.71%,Trump,-46.5%,Drew Savicki,drewsav
AL-04,"49,720","258,636","311,536",15.96%,83.02%,Trump,-67.1%,Drew Savicki,drewsav
AL-05,"124,533","233,123","364,163",34.20%,64.02%,Trump,-29.8%,Drew Savicki,drewsav
AL-06,"104,267","240,522","351,263",29.68%,68.47%,Trump,-38.8%,Drew Savicki,drewsav
AL-07,"182,469","111,356","296,927",61.45%,37.50%,Harris,23.9%,Drew Savicki,drewsav
AR-01,"72,035","195,867","273,123",26.37%,71.71%,Trump,-45.3%,Drew Savicki,drewsav
AR-02,"130,693","180,476","318,848",40.99%,56.60%,Trump,-15.6%,Drew Savicki,drewsav
AR-03,"111,878","188,909","309,212",36.18%,61.09%,Trump,-24.9%,Drew Savicki,drewsav
AR-04,"81,410","193,097","279,664",29.11%,69.05%,Trump,-39.9%,Drew Savicki,drewsav
AZ-01,"216,232","230,237","452,616",47.77%,50.87%,Trump,-3.1%,Drew Savicki,drewsav
AZ-02,"174,927","237,247","416,913",41.96%,56.91%,Trump,-14.9%,Drew Savicki,drewsav
AZ-03,"147,522","62,762","214,108",68.90%,29.31%,Harris,39.6%,Drew Savicki,drewsav
AZ-04,"182,893","159,723","349,098",52.39%,45.75%,Harris,6.6%,Drew Savicki,drewsav
AZ-05,"175,673","264,571","446,756",39.32%,59.22%,Trump,-19.9%,Drew Savicki,drewsav
AZ-06,"216,024","219,323","441,768",48.90%,49.65%,Trump,-0.7%,Drew Savicki,drewsav
AZ-07,"170,352","108,028","282,477",60.31%,38.24%,Harris,22.1%,Drew Savicki,drewsav
AZ-08,"162,183","226,186","393,385",41.23%,57.50%,Trump,-16.3%,Drew Savicki,drewsav
AZ-09,"137,054","262,165","403,628",33.96%,64.95%,Trump,-31.0%,Drew Savicki,drewsav
CA-01,"118,090","199,649","326,893",36.12%,61.07%,Trump,-24.9%,sz117649,sz117649
CA-02,"276,863","100,474","390,600",70.88%,25.72%,Harris,45.2%,"Del Norte, Humboldt, Marin, Mendocino, Sonoma, Trinity Counties",
CA-03,"201,922","218,497","434,096",46.52%,50.33%,Trump,-3.8%,sz117649,sz117649
CA-04,"225,203","115,410","351,669",64.04%,32.82%,Harris,31.2%,"Lake, Napa, Solano, Sonoma, Yolo Counties",
CA-05,"151,686","219,092","380,505",39.86%,57.58%,Trump,-17.7%,"Stanislaus, El Dorado, Fresno, Tuolumne, Calaveras, Amador, Madera, and Mariposa Counties",
CA-06,"166,463","124,666","301,412",55.23%,41.36%,Harris,13.9%,Sacramento County,
CA-07,"195,104","103,118","309,198",63.10%,33.35%,Harris,29.7%,"Sacramento, Solano, Yolo Counties",
CA-08,"200,015","75,771","285,116",70.15%,26.58%,Harris,43.6%,sz117649,sz117649
CA-09,"122,904","127,491","258,203",47.60%,49.38%,Trump,-1.8%,sz117649,sz117649
CA-10,"247,321","119,198","379,290",65.21%,31.43%,Harris,33.8%,"Alameda, Contra Costa Counties",
CA-11,"295,463","50,870","361,182",81.80%,14.08%,Harris,67.7%,S.F. County,
